bgrp,IBuff_Pop,SBuff_Pop,Buff_Pop,Buff_Pct,Lane_PctSB,Lane_PctIB
170310803004,1002,0,1002,90.6800003052,17.2399997711,82.7600021362
170310804001,1902,98,2000,79.6500015259,0.0,100.0
170310804002,579,0,579,100.0,9.11999988556,90.8799972534
170310804003,1105,43,1148,94.25,5.78000020981,94.2200012207
170310810001,376,0,376,70.5400009155,47.25,52.75
170310810002,1172,4,1176,82.3499984741,16.3400001526,83.6600036621
170310810003,930,120,1050,100.0,39.4500007629,60.5499992371
170310810004,1363,0,1363,100.0,18.7099990845,81.2900009155
170310810005,1692,190,1882,83.2399978638,37.1399993896,62.8600006104
170310810006,1302,0,1302,100.0,20.5200004578,79.4800033569
170310811001,1028,23,1051,92.8399963379,7.30000019073,92.6999969482
170310811002,1158,0,1158,97.5599975586,0.0,100.0
170310811003,1431,0,1431,100.0,0.0,100.0
170310812011,675,0,675,79.4100036621,0.0,100.0
170310812012,2084,0,2084,100.0,18.9599990845,81.0400009155
170310812013,1094,0,1094,100.0,4.19999980927,95.8000030518
170310812021,557,0,557,97.2099990845,45.1599998474,54.8400001526
170310812022,734,21,755,92.6399993896,39.8199996948,60.1800003052
170310812023,814,0,814,100.0,19.5400009155,80.4599990845
170310812024,717,0,717,93.8499984741,20.4500007629,79.5500030518
170310813001,772,0,772,82.5699996948,0.0,0.0
170310813002,544,0,544,100.0,0.0,100.0
170310813003,696,0,696,87.7699966431,0.0,100.0
170310813004,1556,0,1556,100.0,35.0800018311,64.9199981689
170310813005,607,0,607,100.0,0.0,0.0
170310813006,624,0,624,100.0,42.0400009155,57.9599990845
170310814011,937,32,969,98.5800018311,11.5600004196,88.4400024414
170310814012,1293,3,1296,97.2200012207,29.1200008392,70.8799972534
170310814021,1249,472,1721,88.0800018311,23.1299991608,76.8700027466
170310814022,1477,0,1477,100.0,0.0,100.0
170310814023,410,0,410,53.25,0.0,100.0
170310814031,1418,0,1418,50.6399993896,13.4300003052,86.5699996948
170310814032,1259,0,1259,85.2399978638,0.0,100.0
170310814033,518,0,518,26.4599990845,0.0,100.0
170310815001,1309,0,1309,98.0500030518,8.89999961853,91.0999984741
170310815002,1458,0,1458,99.5199966431,1.79999995232,98.1999969482
170310815003,1376,0,1376,92.3499984741,3.01999998093,96.9800033569
170310816001,1315,0,1315,52.4500007629,0.0,100.0
170310816002,904,0,904,100.0,26.3700008392,73.6299972534
170310817001,1245,0,1245,98.8099975586,0.0,100.0
170310817002,1193,0,1193,65.6900024414,7.19000005722,92.8099975586
170310818001,2988,158,3146,98.1900024414,7.59000015259,92.4100036621
170310818002,1114,0,1114,51.1199989319,2.74000000954,97.2600021362
170310818003,1372,0,1372,88.5699996948,1.72000002861,98.2799987793
170310819001,531,321,852,82.2399978638,42.6300010681,57.3699989319
170310901001,650,190,840,86.1500015259,32.8199996948,67.1800003052
170310901002,723,47,770,86.0299987793,14.6300001144,85.3700027466
170310901003,311,191,502,73.0699996948,39.5200004578,60.4799995422
170310901004,349,276,625,75.1200027466,53.5,46.5
170310902001,546,201,747,79.9800033569,43.3100013733,56.6899986267
170310902002,782,316,1098,85.6500015259,44.3800010681,55.6199989319
170310902003,1258,210,1468,99.0599975586,25.0,75.0
170310902004,1140,608,1748,90.5699996948,42.8199996948,57.1800003052
170310902005,248,263,511,54.5900001526,63.6899986267,36.3100013733
170310903001,890,465,1355,98.2600021362,63.2999992371,36.7000007629
170311001001,1179,23,1202,96.2399978638,17.8500003815,82.1500015259
170311001002,1503,63,1566,97.8799972534,12.8100004196,87.1900024414
170311001003,775,68,843,99.6500015259,50.0299987793,49.9700012207
170311001004,277,74,351,67.8899993896,37.2099990845,62.7900009155
170311001005,1025,39,1064,97.2600021362,21.6900005341,78.3099975586
170311002001,890,197,1087,98.2799987793,67.5400009155,32.4599990845
170311002002,653,76,729,89.2300033569,33.0999984741,66.9000015259
170311002003,926,75,1001,85.4100036621,23.0,77.0
